Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish,latam
reinforcedCommercialEntryDoor1,blocks,Block,,,Reinforced Commercial Entry Door 1,Puerta comercial reforzada 1,Puerta comercial reforzada 1
reinforcedCommercialEntryDoor2,blocks,Block,,,Reinforced Commercial Entry Door 2,Puerta comercial reforzada 2,Puerta comercial reforzada 2
reinforcedCommercialEntryDoor4,blocks,Block,,,Reinforced Commercial Entry Door 4,Puerta comercial reforzada 4,Puerta comercial reforzada 4
reinforcedEntryDoorHelper,blocks,Block,,,Reinforced Doors Helper,Cambiante de puertas reforzadas,Cambiante de puertas reforzadas

rollingGarageDoorBrown,blocks,Block,,,Rolling Garage Door Brown 5x3,Puerta de garaje marrón 5x3,Puerta de garaje marrón 5x3
rollingGarageDoorIndustrial,blocks,Block,,,Rolling Garage Door Industrial 5x3,Puerta de garaje industrial 5x3,Puerta de garaje industrial 5x3
rollingGarageHelper,blocks,Block,,,Rolling Garage Door 5x3,Puerta de garaje de carrete 5x3,Puerta de garaje de carrete 5x3
reinforRollingGarageHelper,blocks,Block,,,Steel Garage Door 5x3 (Powered),Puerta de garaje de acero 5x3 (con alimentación),Puerta de garaje de acero 5x3 (con alimentación)
garageDoorHelper,blocks,Block,,,"A rolling overhead Garage Door that can be locked.\nUsing the default placement you are standing on the outside and it will open by rolling up and away from you.\nRepair with Forged Iron.\nWith the block at hand hold, R and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with." ,"Una puerta de garaje de carrete elevada que se puede cerrar.\nAl colocarla de forma predeterminada, si te pones junto a ella en el exterior, se enrollará y levantará.\nSe repara con hierro forjado.\nCon el bloque en mano, Manten R  y selecciona la Entrada de forma desde el menú. Da clic o pulsa la tecla Mayúsculas+clic para seleccionar una variante con la que construir." ,"Una puerta de garaje de carrete elevada que se puede cerrar.\nAl colocarla de forma predeterminada, si te pones junto a ella en el exterior, se enrollará y levantará.\nSe repara con hierro forjado.\nCon el bloque en mano Manten R  y selecciona la Entrada de forma desde el menú. Da clic o pulsa la tecla Mayúsculas+clic para seleccionar una variante con la que construir."
garageDoorHelperPow,blocks,Block,,,"A rolling overhead Garage Door that can be locked.\nUsing the default placement you are standing on the outside and it will open by rolling up and away from you.\nRepair with Forged Steel.\nConnect to a power source to activate/open this garage door\nWith the block at hand, hold R and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with.","Una puerta de garaje de carrete elevada que se puede cerrar.\nAl colocarla de forma predeterminada, si te pones junto a ella en el exterior, se enrollará y levantará.\nSe repara con acero forjado.\nConéctala a una fuente de alimentación para activar/abrir esta puerta de garaje. \nCon el bloque en mano, Manten R  y selecciona la Entrada de forma desde el menú. Da clic o pulsa la tecla Mayúsculas+clic para seleccionar una variante con la que construir." ,"Una puerta de garaje de carrete elevada que se puede cerrar.\nAl colocarla de forma predeterminada, si te pones junto a ella en el exterior, se enrollará y levantará.\nSe repara con acero forjado.\nConéctala a una fuente de alimentación para activar/abrir esta puerta de garaje. \nCon el bloque en mano Manten R  y selecciona la Entrada de forma desde el menú. Da clic o pulsa la tecla Mayúsculas+clic para seleccionar una variante con la que construir."
rollingGarageDoorBrownDesc,blocks,Block,,,A rolling overhead Garage Door that can be locked.\nUsing the default placement you are standing on the outside and it will open by rolling up and away from you.\nRepair with Forged Iron.

reinforcedGarageDoor,blocks,Block,,,Steel House Garage Door 5x3 (Powered),Puerta de garaje de acero gris 5x3 (con alimentación)
reinforcedGarageDoorBrown,blocks,Block,,,Steel House Garage Door Brown 5x3 (Powered),Puerta de garaje de acero marrón 5x3 (con alimentación)

jailDoorDynamic,blocks,Block,,,Jail Door,Puerta de Carcel,Puerta de Carcel
jailDoorDynamicDesc,blocks,Block,,,"Where do you think you're going? No where with this working jail cell door!",,,,,

signRoadHelper,blocks,Block,,,Road Signs,Señales de Camino,Señales de Camino
signRoadHelperBlockDesc,blocks,Block,,,This helper block contains all of the different road signs,This helper block contains all of the different road signs,This helper block contains all of the different road signs

signShopLitHelper,blocks,Block,,,"Shop Signs (Lit)","Anuncion de Tienda (Iluminado)","Anuncion de Tienda (Iluminado)"
signShopLitHelperBlockDesc,blocks,Block,,,"This helper block contains all of the different shop signs that have light. \n \nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools and Savage County.","Este bloque de ayuda contiene todos los diferentes letreros de las tiendas que tienen luz.\n\nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools, Savage Contry".,"Este bloque de ayuda contiene todos los diferentes letreros de las tiendas que tienen luz.\n\nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools, Savage Contry".

ignShopDarkHelper,blocks,Block,,,"Shop Signs (No Light)","Anuncion de Tienda (Sin Luz)","Anuncion de Tienda (Sin Luz)"
signShopDarkHelperBlockDesc,blocks,Block,,,"This helper block contains all of the different shop signs that are not lit up. \n \nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools and Savage Country.","Este bloque de ayuda contiene todos los diferentes letreros de las tiendas que no están iluminados.\n\nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools, Savage Contry.","Este bloque de ayuda contiene todos los diferentes letreros de las tiendas que no están iluminados.\n\nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools, Savage Contry."

signTraderJoelHelper,blocks,Block,,,Trader Joel Signs,Señales de Trader Joel,Señales de Trader Joel
signShopTraderJoelHelperBlockDesc,blocks,Block,,,This helper block contains the 2 different Trader Joel signs,Este bloque variante contiene los 2 señales de Trader Joel diferentes,Este bloque variante contiene los 2 señales de Trader Joel diferentes
